Unnamed: 0,job_title,job_type,experience_level,location,salary_currency,salary
0,Data scientist,Full Time,Senior,New York City,USD,0.6010101010101011
2,Data scientist,Full Time,Senior,Boston,USD,0.4545454545454546
3,Data scientist,Full Time,Senior,London,USD,0.1919191919191919
4,Data scientist,Full Time,Senior,Boston,USD,0.4545454545454546
5,Data scientist,Full Time,Senior,New York City,USD,0.6010101010101011
6,Data scientist,Full Time,Senior,London,USD,0.1919191919191919
7,Data scientist,Full Time,Senior,Research Triangle Park,USD,0.196969696969697
8,Data scientist,Full Time,Senior,Sydney,USD,0.1919191919191919
9,Data scientist,Full Time,Senior,San Francisco,USD,0.5555555555555556
10,Data scientist,Full Time,Senior,Sofia,USD,0.1919191919191919
12,Data scientist,Full Time,Entry,BangPa-in,USD,0.02525252525252525
15,Data scientist,Full Time,Senior,Berlin,USD,0.1919191919191919
17,Data scientist,Full Time,Senior,NAMER,USD,0.1919191919191919
18,Data scientist,Full Time,Senior,Remote,USD,0.1919191919191919
20,Data scientist,Full Time,Senior,San Jose,USD,0.1919191919191919
22,Data scientist,Full Time,Senior,Petaling Jaya,USD,0.12626262626262627
23,Data scientist,Full Time,Senior,Englewood,USD,0.1919191919191919
24,Data scientist,Full Time,Senior,Pune,USD,0.1919191919191919
25,Data scientist,Full Time,Senior,London,USD,0.1919191919191919
26,Data scientist,Full Time,Mid,Remote,USD,0.0505050505050505
27,Data scientist,Full Time,Entry,Paris,USD,0.030303030303030304
28,Data scientist,Internship,Entry,Paris,USD,0.030303030303030304
30,Data scientist,Full Time,Mid,Gothenburg,USD,0.0505050505050505
31,Data scientist,Internship,Entry,Mountain View,USD,0.1313131313131313
32,Data scientist,Full Time,Executive,San Francisco,USD,0.5050505050505051
34,Data scientist,Full Time,Senior,San Jose,USD,0.1919191919191919
35,Data scientist,Full Time,Senior,Porto,USD,0.1313131313131313
36,Data scientist,Internship,Entry,Mountain View,USD,0.1313131313131313
37,Data scientist,Full Time,Senior,Ontario,USD,0.1919191919191919
38,Data scientist,Full Time,Senior,Brooklyn,USD,0.3737373737373738
40,Data scientist,Full Time,Mid,Sydney,USD,0.16161616161616163
41,Data scientist,Full Time,Senior,Remote- US,USD,0.6060606060606061
42,Data scientist,Full Time,Senior,Cambridge,USD,0.1919191919191919
44,Data scientist,Full Time,Mid,La Libertad,USD,0.0505050505050505
45,Data scientist,Full Time,Senior,San Francisco,USD,0.6616161616161617
47,Data scientist,Full Time,Senior,London,USD,0.1919191919191919
48,Data scientist,Full Time,Senior,Lithuania | UK,USD,0.1919191919191919
50,Data scientist,Full Time,Senior,Chicago,USD,0.1919191919191919
51,Data scientist,Full Time,Senior,Remote,USD,0.1919191919191919
52,Data scientist,Full Time,Senior,Remote- US,USD,0.6060606060606061
53,Data scientist,Full Time,Mid,United Kingdom - Remote,USD,0.0505050505050505
55,Data scientist,Full Time,Senior,Santiago,USD,0.1919191919191919
57,Data scientist,Full Time,Senior,Nairobi,USD,0.1919191919191919
60,Data scientist,Full Time,Mid,Luxembourg,USD,0.0505050505050505
61,Data scientist,Full Time,Senior,San Francisco OR Remote US Canada,USD,0.1919191919191919
62,Data scientist,Full Time,Senior,Paris,USD,0.1919191919191919
63,Data scientist,Full Time,Mid,Lyon,USD,0.0505050505050505
64,Data scientist,Full Time,Senior,Montreal,USD,0.1313131313131313
65,Data scientist,Full Time,Senior,Remote,USD,0.1919191919191919
66,Data scientist,Full Time,Entry,Princeton,USD,0.22222222222222224
67,Data scientist,Full Time,Mid,California,USD,0.0505050505050505
68,Data scientist,Full Time,Senior,Athens,USD,0.1919191919191919
69,Data scientist,Internship,Senior,London,USD,0.1313131313131313
70,Data scientist,Full Time,Entry,Charenton-Le-Pont,USD,0.030303030303030304
72,Data scientist,Full Time,Senior,San Francisco,USD,0.1919191919191919
73,Data scientist,Full Time,Senior,Aberdeen,USD,0.1919191919191919
75,Data scientist,Full Time,Mid,Brampton,USD,0.0505050505050505
78,Data scientist,Full Time,Senior,Salt Lake City,USD,0.1919191919191919
79,Data scientist,Full Time,Mid,Munich,USD,0.0505050505050505
80,Data scientist,Full Time,Mid,Oslo,USD,0.0505050505050505
81,Data scientist,Full Time,Senior,Basel,USD,0.1919191919191919
82,Data scientist,Full Time,Mid,Düsseldorf,USD,0.0505050505050505
83,Data scientist,Full Time,Entry,Paris,USD,0.030303030303030304
84,Data scientist,Full Time,Senior,Madrid,EUR,0.030303030303030304
85,Data scientist,Full Time,Mid,Austin,USD,0.0505050505050505
86,Data scientist,Full Time,Mid,Dallas,USD,0.0505050505050505
88,Data scientist,Full Time,Senior,Warsaw,USD,0.4545454545454546
